Date,Nation,Metric,Admissions
05/06/2020,Scotland,NewAdmissions,10
06/06/2020,Scotland,NewAdmissions,6
06/06/2020,England,NewAdmissions,306
06/06/2020,Wales,NewAdmissions,92
06/06/2020,Northern Ireland,NewAdmissions,2
07/06/2020,Wales,NewAdmissions,76
07/06/2020,Northern Ireland,NewAdmissions,0
07/06/2020,England,NewAdmissions,323
07/06/2020,Scotland,NewAdmissions,6
08/06/2020,Scotland,NewAdmissions,3
08/06/2020,England,NewAdmissions,348
08/06/2020,Northern Ireland,NewAdmissions,1
08/06/2020,Wales,NewAdmissions,59
09/06/2020,Northern Ireland,NewAdmissions,3
09/06/2020,Wales,NewAdmissions,84
09/06/2020,England,NewAdmissions,397
09/06/2020,Scotland,NewAdmissions,5
10/06/2020,Scotland,NewAdmissions,7
10/06/2020,England,NewAdmissions,402
10/06/2020,Northern Ireland,NewAdmissions,3
10/06/2020,Wales,NewAdmissions,97
11/06/2020,Wales,NewAdmissions,104
11/06/2020,Northern Ireland,NewAdmissions,2
11/06/2020,England,NewAdmissions,330
11/06/2020,Scotland,NewAdmissions,7
12/06/2020,Scotland,NewAdmissions,3
12/06/2020,England,NewAdmissions,298
12/06/2020,Wales,NewAdmissions,90
12/06/2020,Northern Ireland,NewAdmissions,1
13/06/2020,Northern Ireland,NewAdmissions,2
13/06/2020,Wales,NewAdmissions,114
13/06/2020,Scotland,NewAdmissions,4
13/06/2020,England,NewAdmissions,265
14/06/2020,England,NewAdmissions,306
14/06/2020,Scotland,NewAdmissions,6
14/06/2020,Wales,NewAdmissions,52
14/06/2020,Northern Ireland,NewAdmissions,0
15/06/2020,Northern Ireland,NewAdmissions,0
15/06/2020,Wales,NewAdmissions,68
15/06/2020,England,NewAdmissions,365
15/06/2020,Scotland,NewAdmissions,6
16/06/2020,Scotland,NewAdmissions,5
16/06/2020,England,NewAdmissions,354
16/06/2020,Wales,NewAdmissions,95
16/06/2020,Northern Ireland,NewAdmissions,0
17/06/2020,Northern Ireland,NewAdmissions,0
17/06/2020,Wales,NewAdmissions,91
17/06/2020,England,NewAdmissions,334
17/06/2020,Scotland,NewAdmissions,5
18/06/2020,Scotland,NewAdmissions,2
18/06/2020,England,NewAdmissions,312
18/06/2020,Wales,NewAdmissions,87
18/06/2020,Northern Ireland,NewAdmissions,0
19/06/2020,Northern Ireland,NewAdmissions,2
19/06/2020,Wales,NewAdmissions,78
19/06/2020,England,NewAdmissions,253
19/06/2020,Scotland,NewAdmissions,4
20/06/2020,England,NewAdmissions,184
20/06/2020,Scotland,NewAdmissions,2
20/06/2020,Northern Ireland,NewAdmissions,0
20/06/2020,Wales,NewAdmissions,68
21/06/2020,Northern Ireland,NewAdmissions,2
21/06/2020,Wales,NewAdmissions,68
21/06/2020,England,NewAdmissions,215
21/06/2020,Scotland,NewAdmissions,1
22/06/2020,Scotland,NewAdmissions,5
22/06/2020,England,NewAdmissions,318
22/06/2020,Northern Ireland,NewAdmissions,1
22/06/2020,Wales,NewAdmissions,67
23/06/2020,Wales,NewAdmissions,79
23/06/2020,Northern Ireland,NewAdmissions,1
23/06/2020,Scotland,NewAdmissions,5
23/06/2020,England,NewAdmissions,275
24/06/2020,Scotland,NewAdmissions,3
24/06/2020,England,NewAdmissions,262
24/06/2020,Northern Ireland,NewAdmissions,0
24/06/2020,Wales,NewAdmissions,101
25/06/2020,Northern Ireland,NewAdmissions,0
25/06/2020,Wales,NewAdmissions,64
25/06/2020,England,NewAdmissions,256
25/06/2020,Scotland,NewAdmissions,2
26/06/2020,England,NewAdmissions,248
26/06/2020,Scotland,NewAdmissions,0
26/06/2020,Northern Ireland,NewAdmissions,1
26/06/2020,Wales,NewAdmissions,88
27/06/2020,Northern Ireland,NewAdmissions,0
27/06/2020,Wales,NewAdmissions,74
27/06/2020,Scotland,NewAdmissions,3
27/06/2020,England,NewAdmissions,209
28/06/2020,Scotland,NewAdmissions,3
28/06/2020,England,NewAdmissions,155
28/06/2020,Northern Ireland,NewAdmissions,3
28/06/2020,Wales,NewAdmissions,47
29/06/2020,Wales,NewAdmissions,46
29/06/2020,Northern Ireland,NewAdmissions,0
29/06/2020,England,NewAdmissions,172
29/06/2020,Scotland,NewAdmissions,1
30/06/2020,England,NewAdmissions,189
30/06/2020,Scotland,NewAdmissions,1
30/06/2020,Wales,NewAdmissions,104
30/06/2020,Northern Ireland,NewAdmissions,0
01/07/2020,Wales,NewAdmissions,66
01/07/2020,Northern Ireland,NewAdmissions,0
01/07/2020,England,NewAdmissions,201
01/07/2020,Scotland,NewAdmissions,3
02/07/2020,Scotland,NewAdmissions,1
02/07/2020,England,NewAdmissions,149
02/07/2020,Northern Ireland,NewAdmissions,0
02/07/2020,Wales,NewAdmissions,64
03/07/2020,Wales,NewAdmissions,65
03/07/2020,Northern Ireland,NewAdmissions,0
03/07/2020,Scotland,NewAdmissions,2
03/07/2020,England,NewAdmissions,146
04/07/2020,England,NewAdmissions,120
04/07/2020,Scotland,NewAdmissions,1
04/07/2020,Northern Ireland,NewAdmissions,0
04/07/2020,Wales,NewAdmissions,78
05/07/2020,Northern Ireland,NewAdmissions,0
05/07/2020,Wales,NewAdmissions,63
05/07/2020,Scotland,NewAdmissions,1
05/07/2020,England,NewAdmissions,131
06/07/2020,England,NewAdmissions,150
06/07/2020,Scotland,NewAdmissions,2
06/07/2020,Wales,NewAdmissions,50
06/07/2020,Northern Ireland,NewAdmissions,0
07/07/2020,Northern Ireland,NewAdmissions,0
07/07/2020,Wales,NewAdmissions,64
07/07/2020,England,NewAdmissions,148
07/07/2020,Scotland,NewAdmissions,2
08/07/2020,Scotland,NewAdmissions,0
08/07/2020,England,NewAdmissions,141
08/07/2020,Wales,NewAdmissions,63
08/07/2020,Northern Ireland,NewAdmissions,1
09/07/2020,Wales,NewAdmissions,75
09/07/2020,Northern Ireland,NewAdmissions,0
09/07/2020,England,NewAdmissions,136
09/07/2020,Scotland,NewAdmissions,0
10/07/2020,England,NewAdmissions,104
10/07/2020,Scotland,NewAdmissions,3
10/07/2020,Wales,NewAdmissions,68
10/07/2020,Northern Ireland,NewAdmissions,0
11/07/2020,Wales,NewAdmissions,76
11/07/2020,Northern Ireland,NewAdmissions,0
11/07/2020,Scotland,NewAdmissions,3
11/07/2020,England,NewAdmissions,97
12/07/2020,England,NewAdmissions,72
12/07/2020,Scotland,NewAdmissions,1
12/07/2020,Northern Ireland,NewAdmissions,0
12/07/2020,Wales,NewAdmissions,41
13/07/2020,Northern Ireland,NewAdmissions,1
13/07/2020,Wales,NewAdmissions,50
13/07/2020,England,NewAdmissions,137
13/07/2020,Scotland,NewAdmissions,1
14/07/2020,Scotland,NewAdmissions,1
14/07/2020,England,NewAdmissions,122
14/07/2020,Northern Ireland,NewAdmissions,0
14/07/2020,Wales,NewAdmissions,63
