Date,Nation,Metric,Deaths
24/06/2020,Northern Ireland,DeathsByDate,3
25/06/2020,Wales,DeathsByDate,8
25/06/2020,Northern Ireland,DeathsByDate,1
25/06/2020,Scotland,DeathsByDate,2
25/06/2020,England,DeathsByDate,97
26/06/2020,England,DeathsByDate,70
26/06/2020,Scotland,DeathsByDate,3
26/06/2020,Wales,DeathsByDate,4
26/06/2020,Northern Ireland,DeathsByDate,2
27/06/2020,Northern Ireland,DeathsByDate,1
27/06/2020,Wales,DeathsByDate,6
27/06/2020,Scotland,DeathsByDate,5
27/06/2020,England,DeathsByDate,61
28/06/2020,England,DeathsByDate,62
28/06/2020,Scotland,DeathsByDate,1
28/06/2020,Wales,DeathsByDate,4
28/06/2020,Northern Ireland,DeathsByDate,3
29/06/2020,Northern Ireland,DeathsByDate,1
29/06/2020,Wales,DeathsByDate,3
29/06/2020,England,DeathsByDate,63
29/06/2020,Scotland,DeathsByDate,2
30/06/2020,Scotland,DeathsByDate,2
30/06/2020,England,DeathsByDate,71
30/06/2020,Wales,DeathsByDate,6
30/06/2020,Northern Ireland,DeathsByDate,2
01/07/2020,Wales,DeathsByDate,4
01/07/2020,Northern Ireland,DeathsByDate,2
01/07/2020,Scotland,DeathsByDate,4
01/07/2020,England,DeathsByDate,44
02/07/2020,Scotland,DeathsByDate,1
02/07/2020,England,DeathsByDate,55
02/07/2020,Wales,DeathsByDate,5
02/07/2020,Northern Ireland,DeathsByDate,0
03/07/2020,Northern Ireland,DeathsByDate,2
03/07/2020,Wales,DeathsByDate,0
03/07/2020,Scotland,DeathsByDate,1
03/07/2020,England,DeathsByDate,45
04/07/2020,England,DeathsByDate,46
04/07/2020,Scotland,DeathsByDate,3
04/07/2020,Wales,DeathsByDate,3
04/07/2020,Northern Ireland,DeathsByDate,0
05/07/2020,Wales,DeathsByDate,5
05/07/2020,Northern Ireland,DeathsByDate,2
05/07/2020,Scotland,DeathsByDate,1
05/07/2020,England,DeathsByDate,44
06/07/2020,Scotland,DeathsByDate,3
06/07/2020,England,DeathsByDate,48
06/07/2020,Wales,DeathsByDate,3
06/07/2020,Northern Ireland,DeathsByDate,0
07/07/2020,Northern Ireland,DeathsByDate,0
07/07/2020,Wales,DeathsByDate,2
07/07/2020,Scotland,DeathsByDate,0
07/07/2020,England,DeathsByDate,41
08/07/2020,England,DeathsByDate,44
08/07/2020,Scotland,DeathsByDate,1
08/07/2020,Northern Ireland,DeathsByDate,0
08/07/2020,Wales,DeathsByDate,2
09/07/2020,Northern Ireland,DeathsByDate,1
09/07/2020,Wales,DeathsByDate,4
09/07/2020,England,DeathsByDate,56
09/07/2020,Scotland,DeathsByDate,0
10/07/2020,Scotland,DeathsByDate,0
10/07/2020,England,DeathsByDate,42
10/07/2020,Northern Ireland,DeathsByDate,1
10/07/2020,Wales,DeathsByDate,1
11/07/2020,Northern Ireland,DeathsByDate,1
11/07/2020,Wales,DeathsByDate,1
11/07/2020,England,DeathsByDate,33
11/07/2020,Scotland,DeathsByDate,3
12/07/2020,Scotland,DeathsByDate,0
12/07/2020,England,DeathsByDate,29
12/07/2020,Wales,DeathsByDate,2
12/07/2020,Northern Ireland,DeathsByDate,1
13/07/2020,Wales,DeathsByDate,2
13/07/2020,Northern Ireland,DeathsByDate,0
13/07/2020,Scotland,DeathsByDate,1
13/07/2020,England,DeathsByDate,42
14/07/2020,Scotland,DeathsByDate,3
14/07/2020,England,DeathsByDate,38
14/07/2020,Wales,DeathsByDate,1
14/07/2020,Northern Ireland,DeathsByDate,0
15/07/2020,Wales,DeathsByDate,0
15/07/2020,Northern Ireland,DeathsByDate,0
15/07/2020,England,DeathsByDate,39
15/07/2020,Scotland,DeathsByDate,2
16/07/2020,England,DeathsByDate,18
16/07/2020,Scotland,DeathsByDate,0
16/07/2020,Wales,DeathsByDate,2
16/07/2020,Northern Ireland,DeathsByDate,1
17/07/2020,Northern Ireland,DeathsByDate,2
17/07/2020,Wales,DeathsByDate,1
17/07/2020,Scotland,DeathsByDate,0
17/07/2020,England,DeathsByDate,31
18/07/2020,Scotland,DeathsByDate,2
18/07/2020,England,DeathsByDate,28
18/07/2020,Northern Ireland,DeathsByDate,1
18/07/2020,Wales,DeathsByDate,0
19/07/2020,Wales,DeathsByDate,0
19/07/2020,Northern Ireland,DeathsByDate,0
19/07/2020,England,DeathsByDate,22
19/07/2020,Scotland,DeathsByDate,2
20/07/2020,England,DeathsByDate,29
20/07/2020,Scotland,DeathsByDate,1
20/07/2020,Northern Ireland,DeathsByDate,1
20/07/2020,Wales,DeathsByDate,0
21/07/2020,Northern Ireland,DeathsByDate,0
21/07/2020,Wales,DeathsByDate,1
21/07/2020,Scotland,DeathsByDate,0
21/07/2020,England,DeathsByDate,30
22/07/2020,England,DeathsByDate,34
22/07/2020,Scotland,DeathsByDate,0
22/07/2020,Northern Ireland,DeathsByDate,0
22/07/2020,Wales,DeathsByDate,0
23/07/2020,Wales,DeathsByDate,1
23/07/2020,Northern Ireland,DeathsByDate,2
23/07/2020,England,DeathsByDate,33
23/07/2020,Scotland,DeathsByDate,0
24/07/2020,Scotland,DeathsByDate,1
24/07/2020,England,DeathsByDate,17
24/07/2020,Northern Ireland,DeathsByDate,0
24/07/2020,Wales,DeathsByDate,1
25/07/2020,Wales,DeathsByDate,2
25/07/2020,Northern Ireland,DeathsByDate,0
25/07/2020,Scotland,DeathsByDate,1
25/07/2020,England,DeathsByDate,20
26/07/2020,England,DeathsByDate,28
26/07/2020,Scotland,DeathsByDate,1
26/07/2020,Northern Ireland,DeathsByDate,1
26/07/2020,Wales,DeathsByDate,2
27/07/2020,Wales,DeathsByDate,2
27/07/2020,Northern Ireland,DeathsByDate,0
27/07/2020,England,DeathsByDate,16
27/07/2020,Scotland,DeathsByDate,0
28/07/2020,Scotland,DeathsByDate,4
28/07/2020,England,DeathsByDate,20
28/07/2020,Northern Ireland,DeathsByDate,0
28/07/2020,Wales,DeathsByDate,2
29/07/2020,Wales,DeathsByDate,5
29/07/2020,Northern Ireland,DeathsByDate,0
29/07/2020,England,DeathsByDate,21
29/07/2020,Scotland,DeathsByDate,2
30/07/2020,Scotland,DeathsByDate,0
30/07/2020,England,DeathsByDate,14
30/07/2020,Wales,DeathsByDate,3
30/07/2020,Northern Ireland,DeathsByDate,0
31/07/2020,Northern Ireland,DeathsByDate,0
31/07/2020,Wales,DeathsByDate,5
31/07/2020,England,DeathsByDate,26
31/07/2020,Scotland,DeathsByDate,0
01/08/2020,England,DeathsByDate,16
01/08/2020,Scotland,DeathsByDate,0
01/08/2020,Northern Ireland,DeathsByDate,0
01/08/2020,Wales,DeathsByDate,4
02/08/2020,Northern Ireland,DeathsByDate,0
02/08/2020,Wales,DeathsByDate,2
02/08/2020,England,DeathsByDate,15
02/08/2020,Scotland,DeathsByDate,0
03/08/2020,England,DeathsByDate,19
03/08/2020,Scotland,DeathsByDate,1
03/08/2020,Wales,DeathsByDate,3
03/08/2020,Northern Ireland,DeathsByDate,0
04/08/2020,Wales,DeathsByDate,4
04/08/2020,Northern Ireland,DeathsByDate,2
04/08/2020,Scotland,DeathsByDate,1
04/08/2020,England,DeathsByDate,20
05/08/2020,Scotland,DeathsByDate,2
05/08/2020,England,DeathsByDate,7
05/08/2020,Northern Ireland,DeathsByDate,1
05/08/2020,Wales,DeathsByDate,3
06/08/2020,Northern Ireland,DeathsByDate,1
06/08/2020,Wales,DeathsByDate,2
06/08/2020,Scotland,DeathsByDate,1
06/08/2020,England,DeathsByDate,17
07/08/2020,England,DeathsByDate,19
07/08/2020,Scotland,DeathsByDate,0
07/08/2020,Wales,DeathsByDate,5
07/08/2020,Northern Ireland,DeathsByDate,0
08/08/2020,Wales,DeathsByDate,2
08/08/2020,Northern Ireland,DeathsByDate,2
08/08/2020,England,DeathsByDate,18
08/08/2020,Scotland,DeathsByDate,0
09/08/2020,Scotland,DeathsByDate,0
09/08/2020,England,DeathsByDate,18
09/08/2020,Wales,DeathsByDate,0
09/08/2020,Northern Ireland,DeathsByDate,1
10/08/2020,Wales,DeathsByDate,2
10/08/2020,Northern Ireland,DeathsByDate,0
10/08/2020,England,DeathsByDate,23
10/08/2020,Scotland,DeathsByDate,0
11/08/2020,England,DeathsByDate,20
11/08/2020,Scotland,DeathsByDate,0
