Date,Nation,Metric,Deaths
31/03/2020,Wales,CumDeathsByDate,128
31/03/2020,Northern Ireland,CumDeathsByDate,
31/03/2020,Scotland,CumDeathsByDate,
01/04/2020,Scotland,CumDeathsByDate,
01/04/2020,Wales,CumDeathsByDate,149
01/04/2020,England,CumDeathsByDate,4776
01/04/2020,Northern Ireland,CumDeathsByDate,
02/04/2020,Northern Ireland,CumDeathsByDate,
02/04/2020,Scotland,CumDeathsByDate,
02/04/2020,Wales,CumDeathsByDate,177
02/04/2020,England,CumDeathsByDate,5509
03/04/2020,Wales,CumDeathsByDate,206
03/04/2020,England,CumDeathsByDate,6252
03/04/2020,Northern Ireland,CumDeathsByDate,
03/04/2020,Scotland,CumDeathsByDate,
04/04/2020,Scotland,CumDeathsByDate,
04/04/2020,Wales,CumDeathsByDate,237
04/04/2020,England,CumDeathsByDate,7091
04/04/2020,Northern Ireland,CumDeathsByDate,
05/04/2020,Northern Ireland,CumDeathsByDate,
05/04/2020,Scotland,CumDeathsByDate,
05/04/2020,Wales,CumDeathsByDate,267
05/04/2020,England,CumDeathsByDate,7921
06/04/2020,England,CumDeathsByDate,8728
06/04/2020,Wales,CumDeathsByDate,287
06/04/2020,Northern Ireland,CumDeathsByDate,
06/04/2020,Scotland,CumDeathsByDate,
07/04/2020,Scotland,CumDeathsByDate,
07/04/2020,England,CumDeathsByDate,9640
07/04/2020,Wales,CumDeathsByDate,319
07/04/2020,Northern Ireland,CumDeathsByDate,
08/04/2020,Northern Ireland,CumDeathsByDate,
08/04/2020,Scotland,CumDeathsByDate,
08/04/2020,England,CumDeathsByDate,10616
08/04/2020,Wales,CumDeathsByDate,361
09/04/2020,Wales,CumDeathsByDate,404
09/04/2020,England,CumDeathsByDate,11491
09/04/2020,Northern Ireland,CumDeathsByDate,
09/04/2020,Scotland,CumDeathsByDate,
10/04/2020,Scotland,CumDeathsByDate,
10/04/2020,England,CumDeathsByDate,12343
10/04/2020,Wales,CumDeathsByDate,429
10/04/2020,Northern Ireland,CumDeathsByDate,
11/04/2020,Northern Ireland,CumDeathsByDate,
11/04/2020,Scotland,CumDeathsByDate,
11/04/2020,Wales,CumDeathsByDate,460
11/04/2020,England,CumDeathsByDate,13207
12/04/2020,England,CumDeathsByDate,14065
12/04/2020,Wales,CumDeathsByDate,497
12/04/2020,Northern Ireland,CumDeathsByDate,
12/04/2020,Scotland,CumDeathsByDate,
13/04/2020,Scotland,CumDeathsByDate,
13/04/2020,Wales,CumDeathsByDate,540
13/04/2020,England,CumDeathsByDate,14870
13/04/2020,Northern Ireland,CumDeathsByDate,
14/04/2020,Northern Ireland,CumDeathsByDate,
14/04/2020,Scotland,CumDeathsByDate,
14/04/2020,Wales,CumDeathsByDate,566
14/04/2020,England,CumDeathsByDate,15643
15/04/2020,England,CumDeathsByDate,16425
15/04/2020,Wales,CumDeathsByDate,604
15/04/2020,Northern Ireland,CumDeathsByDate,
15/04/2020,Scotland,CumDeathsByDate,
16/04/2020,Scotland,CumDeathsByDate,
16/04/2020,England,CumDeathsByDate,17183
16/04/2020,Wales,CumDeathsByDate,639
16/04/2020,Northern Ireland,CumDeathsByDate,
17/04/2020,Northern Ireland,CumDeathsByDate,
17/04/2020,Scotland,CumDeathsByDate,
17/04/2020,England,CumDeathsByDate,17929
17/04/2020,Wales,CumDeathsByDate,668
18/04/2020,England,CumDeathsByDate,18646
18/04/2020,Wales,CumDeathsByDate,700
18/04/2020,Northern Ireland,CumDeathsByDate,
18/04/2020,Scotland,CumDeathsByDate,
19/04/2020,Scotland,CumDeathsByDate,
19/04/2020,Wales,CumDeathsByDate,726
19/04/2020,England,CumDeathsByDate,19337
19/04/2020,Northern Ireland,CumDeathsByDate,
20/04/2020,Northern Ireland,CumDeathsByDate,
20/04/2020,Scotland,CumDeathsByDate,
20/04/2020,Wales,CumDeathsByDate,751
20/04/2020,England,CumDeathsByDate,20033
21/04/2020,Wales,CumDeathsByDate,781
21/04/2020,England,CumDeathsByDate,20688
21/04/2020,Northern Ireland,CumDeathsByDate,
21/04/2020,Scotland,CumDeathsByDate,
22/04/2020,Scotland,CumDeathsByDate,
