Date,Nation,Metric,Cases
02/06/2020,Wales,CumCasesByDate,14121
02/06/2020,England,CumCasesByDate,152914
03/06/2020,England,CumCasesByDate,153376
03/06/2020,Northern Ireland,CumCasesByDate,4740
03/06/2020,Wales,CumCasesByDate,14203
03/06/2020,Scotland,CumCasesByDate,15504
04/06/2020,Wales,CumCasesByDate,14238
04/06/2020,Scotland,CumCasesByDate,15553
04/06/2020,Northern Ireland,CumCasesByDate,4773
04/06/2020,England,CumCasesByDate,153807
05/06/2020,England,CumCasesByDate,154258
05/06/2020,Wales,CumCasesByDate,14314
05/06/2020,Scotland,CumCasesByDate,15582
05/06/2020,Northern Ireland,CumCasesByDate,4776
06/06/2020,Northern Ireland,CumCasesByDate,4790
06/06/2020,Wales,CumCasesByDate,14356
06/06/2020,Scotland,CumCasesByDate,15603
06/06/2020,England,CumCasesByDate,154680
07/06/2020,England,CumCasesByDate,154908
07/06/2020,Scotland,CumCasesByDate,15621
07/06/2020,Wales,CumCasesByDate,14396
07/06/2020,Northern Ireland,CumCasesByDate,4796
08/06/2020,Wales,CumCasesByDate,14438
08/06/2020,Northern Ireland,CumCasesByDate,4802
08/06/2020,Scotland,CumCasesByDate,15639
08/06/2020,England,CumCasesByDate,155000
09/06/2020,England,CumCasesByDate,155651
09/06/2020,Wales,CumCasesByDate,14480
09/06/2020,Scotland,CumCasesByDate,15653
09/06/2020,Northern Ireland,CumCasesByDate,4805
10/06/2020,Wales,CumCasesByDate,14518
10/06/2020,Northern Ireland,CumCasesByDate,4818
10/06/2020,Scotland,CumCasesByDate,15665
10/06/2020,England,CumCasesByDate,155714
11/06/2020,England,CumCasesByDate,156018
11/06/2020,Scotland,CumCasesByDate,15682
11/06/2020,Northern Ireland,CumCasesByDate,4822
11/06/2020,Wales,CumCasesByDate,14581
12/06/2020,Scotland,CumCasesByDate,15709
12/06/2020,Northern Ireland,CumCasesByDate,4838
12/06/2020,Wales,CumCasesByDate,14658
12/06/2020,England,CumCasesByDate,156410
13/06/2020,England,CumCasesByDate,156782
13/06/2020,Scotland,CumCasesByDate,15730
13/06/2020,Northern Ireland,CumCasesByDate,4841
13/06/2020,Wales,CumCasesByDate,14703
14/06/2020,Northern Ireland,CumCasesByDate,4848
14/06/2020,Wales,CumCasesByDate,14742
14/06/2020,Scotland,CumCasesByDate,15755
14/06/2020,England,CumCasesByDate,157074
15/06/2020,England,CumCasesByDate,157293
15/06/2020,Northern Ireland,CumCasesByDate,4852
15/06/2020,Scotland,CumCasesByDate,18030
15/06/2020,Wales,CumCasesByDate,14804
16/06/2020,Northern Ireland,CumCasesByDate,4854
16/06/2020,Scotland,CumCasesByDate,18045
16/06/2020,Wales,CumCasesByDate,14869
16/06/2020,England,CumCasesByDate,157545
17/06/2020,England,CumCasesByDate,157797
17/06/2020,Northern Ireland,CumCasesByDate,4862
17/06/2020,Wales,CumCasesByDate,14922
17/06/2020,Scotland,CumCasesByDate,18066
18/06/2020,Northern Ireland,CumCasesByDate,4863
18/06/2020,Scotland,CumCasesByDate,18077
18/06/2020,Wales,CumCasesByDate,14970
18/06/2020,England,CumCasesByDate,158078
19/06/2020,England,CumCasesByDate,158401
19/06/2020,Northern Ireland,CumCasesByDate,4866
19/06/2020,Scotland,CumCasesByDate,18104
19/06/2020,Wales,CumCasesByDate,15001
20/06/2020,Northern Ireland,CumCasesByDate,4866
20/06/2020,Scotland,CumCasesByDate,18130
20/06/2020,Wales,CumCasesByDate,15026
20/06/2020,England,CumCasesByDate,158725
21/06/2020,England,CumCasesByDate,158940
21/06/2020,Scotland,CumCasesByDate,18156
21/06/2020,Wales,CumCasesByDate,15126
21/06/2020,Northern Ireland,CumCasesByDate,4870
22/06/2020,Northern Ireland,CumCasesByDate,4871
22/06/2020,Scotland,CumCasesByDate,18170
22/06/2020,Wales,CumCasesByDate,15197
22/06/2020,England,CumCasesByDate,159118
23/06/2020,England,CumCasesByDate,159328
23/06/2020,Wales,CumCasesByDate,15295
23/06/2020,Scotland,CumCasesByDate,18182
23/06/2020,Northern Ireland,CumCasesByDate,4871
24/06/2020,Scotland,CumCasesByDate,18191
24/06/2020,Northern Ireland,CumCasesByDate,4873
24/06/2020,Wales,CumCasesByDate,15341
24/06/2020,England,CumCasesByDate,159435
25/06/2020,England,CumCasesByDate,159696
25/06/2020,Wales,CumCasesByDate,15466
25/06/2020,Northern Ireland,CumCasesByDate,4874
25/06/2020,Scotland,CumCasesByDate,18196
26/06/2020,Northern Ireland,CumCasesByDate,5748
26/06/2020,Wales,CumCasesByDate,15531
26/06/2020,Scotland,CumCasesByDate,18213
26/06/2020,England,CumCasesByDate,159958
27/06/2020,England,CumCasesByDate,160150
27/06/2020,Scotland,CumCasesByDate,18228
27/06/2020,Northern Ireland,CumCasesByDate,5750
27/06/2020,Wales,CumCasesByDate,15577
28/06/2020,Scotland,CumCasesByDate,18236
28/06/2020,Wales,CumCasesByDate,15602
28/06/2020,Northern Ireland,CumCasesByDate,5751
28/06/2020,England,CumCasesByDate,160292
29/06/2020,England,CumCasesByDate,160391
29/06/2020,Northern Ireland,CumCasesByDate,5757
29/06/2020,Scotland,CumCasesByDate,18241
29/06/2020,Wales,CumCasesByDate,15717
30/06/2020,Wales,CumCasesByDate,15743
30/06/2020,Scotland,CumCasesByDate,18251
30/06/2020,Northern Ireland,CumCasesByDate,5760
30/06/2020,England,CumCasesByDate,160587
01/07/2020,England,CumCasesByDate,160764
01/07/2020,Northern Ireland,CumCasesByDate,5761
01/07/2020,Wales,CumCasesByDate,15775
01/07/2020,Scotland,CumCasesByDate,18259
02/07/2020,Scotland,CumCasesByDate,18264
02/07/2020,Northern Ireland,CumCasesByDate,5768
02/07/2020,Wales,CumCasesByDate,15815
02/07/2020,England,CumCasesByDate,243910
03/07/2020,England,CumCasesByDate,244412
03/07/2020,Northern Ireland,CumCasesByDate,5747
03/07/2020,Wales,CumCasesByDate,15841
03/07/2020,Scotland,CumCasesByDate,18276
04/07/2020,Scotland,CumCasesByDate,18287
04/07/2020,Wales,CumCasesByDate,15875
04/07/2020,Northern Ireland,CumCasesByDate,5747
04/07/2020,England,CumCasesByDate,244991
05/07/2020,England,CumCasesByDate,245483
05/07/2020,Northern Ireland,CumCasesByDate,5747
05/07/2020,Wales,CumCasesByDate,15890
05/07/2020,Scotland,CumCasesByDate,18296
06/07/2020,Scotland,CumCasesByDate,18300
06/07/2020,Northern Ireland,CumCasesByDate,5756
06/07/2020,Wales,CumCasesByDate,15898
06/07/2020,England,CumCasesByDate,245814
07/07/2020,England,CumCasesByDate,246386
07/07/2020,Wales,CumCasesByDate,15900
07/07/2020,Scotland,CumCasesByDate,18302
07/07/2020,Northern Ireland,CumCasesByDate,5761
08/07/2020,Wales,CumCasesByDate,15913
08/07/2020,Northern Ireland,CumCasesByDate,5765
08/07/2020,Scotland,CumCasesByDate,18309
08/07/2020,England,CumCasesByDate,246992
09/07/2020,England,CumCasesByDate,247609
09/07/2020,Scotland,CumCasesByDate,18315
09/07/2020,Northern Ireland,CumCasesByDate,5768
09/07/2020,Wales,CumCasesByDate,15929
10/07/2020,Northern Ireland,CumCasesByDate,5772
10/07/2020,Wales,CumCasesByDate,15939
10/07/2020,Scotland,CumCasesByDate,18333
10/07/2020,England,CumCasesByDate,248089
11/07/2020,England,CumCasesByDate,248895
11/07/2020,Scotland,CumCasesByDate,18340
11/07/2020,Wales,CumCasesByDate,15946
11/07/2020,Northern Ireland,CumCasesByDate,5772
12/07/2020,Wales,CumCasesByDate,15962
12/07/2020,Northern Ireland,CumCasesByDate,5772
12/07/2020,Scotland,CumCasesByDate,18359
12/07/2020,England,CumCasesByDate,249510
13/07/2020,England,CumCasesByDate,250007
13/07/2020,Wales,CumCasesByDate,15973
13/07/2020,Scotland,CumCasesByDate,18365
13/07/2020,Northern Ireland,CumCasesByDate,5788
14/07/2020,Scotland,CumCasesByDate,18368
14/07/2020,Wales,CumCasesByDate,16836
14/07/2020,Northern Ireland,CumCasesByDate,5790
14/07/2020,England,CumCasesByDate,250379
15/07/2020,England,CumCasesByDate,250885
15/07/2020,Scotland,CumCasesByDate,18373
15/07/2020,Wales,CumCasesByDate,16854
15/07/2020,Northern Ireland,CumCasesByDate,5799
16/07/2020,Northern Ireland,CumCasesByDate,5815
16/07/2020,Wales,CumCasesByDate,16871
16/07/2020,Scotland,CumCasesByDate,18384
16/07/2020,England,CumCasesByDate,251482
17/07/2020,England,CumCasesByDate,252117
17/07/2020,Wales,CumCasesByDate,16887
17/07/2020,Scotland,CumCasesByDate,18401
17/07/2020,Northern Ireland,CumCasesByDate,5834
18/07/2020,Wales,CumCasesByDate,16897
18/07/2020,Northern Ireland,CumCasesByDate,5834
18/07/2020,Scotland,CumCasesByDate,18422
18/07/2020,England,CumCasesByDate,252913
19/07/2020,England,CumCasesByDate,253585
19/07/2020,Wales,CumCasesByDate,16928
19/07/2020,Northern Ireland,CumCasesByDate,5834
