Date,Nation,Metric,Vaccine
30/06/2021,Scotland,CumFullyVaccByDate,2651019
30/06/2021,England,CumFullyVaccByDate,26892106
01/07/2021,England,CumFullyVaccByDate,27037763
01/07/2021,Scotland,CumFullyVaccByDate,2664314
02/07/2021,Scotland,CumFullyVaccByDate,2676934
02/07/2021,England,CumFullyVaccByDate,27176878
03/07/2021,England,CumFullyVaccByDate,27346389
03/07/2021,Scotland,CumFullyVaccByDate,2688381
04/07/2021,England,CumFullyVaccByDate,27432892
04/07/2021,Scotland,CumFullyVaccByDate,2700126
05/07/2021,Scotland,CumFullyVaccByDate,2717042
05/07/2021,England,CumFullyVaccByDate,27539012
06/07/2021,Scotland,CumFullyVaccByDate,2734848
06/07/2021,England,CumFullyVaccByDate,27647146
07/07/2021,England,CumFullyVaccByDate,27775578
07/07/2021,Scotland,CumFullyVaccByDate,2752152
08/07/2021,Scotland,CumFullyVaccByDate,2769920
08/07/2021,England,CumFullyVaccByDate,27913006
09/07/2021,England,CumFullyVaccByDate,28059109
09/07/2021,Scotland,CumFullyVaccByDate,2787074
10/07/2021,England,CumFullyVaccByDate,28239701
10/07/2021,Scotland,CumFullyVaccByDate,2802889
11/07/2021,Scotland,CumFullyVaccByDate,2818785
11/07/2021,England,CumFullyVaccByDate,28323001
12/07/2021,Scotland,CumFullyVaccByDate,2828913
12/07/2021,England,CumFullyVaccByDate,28418062
13/07/2021,England,CumFullyVaccByDate,28542099
13/07/2021,Scotland,CumFullyVaccByDate,2840398
14/07/2021,England,CumFullyVaccByDate,28691770
14/07/2021,Scotland,CumFullyVaccByDate,2853567
15/07/2021,England,CumFullyVaccByDate,28862372
15/07/2021,Scotland,CumFullyVaccByDate,2866122
16/07/2021,England,CumFullyVaccByDate,29030304
16/07/2021,Scotland,CumFullyVaccByDate,2879981
17/07/2021,Scotland,CumFullyVaccByDate,2891614
17/07/2021,England,CumFullyVaccByDate,29234885
18/07/2021,Scotland,CumFullyVaccByDate,2903833
18/07/2021,England,CumFullyVaccByDate,29341029
19/07/2021,England,CumFullyVaccByDate,29449393
19/07/2021,Scotland,CumFullyVaccByDate,2920443
20/07/2021,Scotland,CumFullyVaccByDate,2936049
20/07/2021,England,CumFullyVaccByDate,29574211
21/07/2021,Scotland,CumFullyVaccByDate,2953216
21/07/2021,England,CumFullyVaccByDate,29719854
22/07/2021,Scotland,CumFullyVaccByDate,2969329
22/07/2021,England,CumFullyVaccByDate,29876336
23/07/2021,England,CumFullyVaccByDate,30031442
23/07/2021,Scotland,CumFullyVaccByDate,2988108
24/07/2021,England,CumFullyVaccByDate,30214106
24/07/2021,Scotland,CumFullyVaccByDate,3002671
25/07/2021,England,CumFullyVaccByDate,30309483
25/07/2021,Scotland,CumFullyVaccByDate,3015199
26/07/2021,England,CumFullyVaccByDate,30417584
26/07/2021,Scotland,CumFullyVaccByDate,3032003
27/07/2021,Scotland,CumFullyVaccByDate,3048541
27/07/2021,England,CumFullyVaccByDate,30533676
28/07/2021,England,CumFullyVaccByDate,30665891
28/07/2021,Scotland,CumFullyVaccByDate,3068053
29/07/2021,England,CumFullyVaccByDate,30810202
29/07/2021,Scotland,CumFullyVaccByDate,3085236
30/07/2021,Scotland,CumFullyVaccByDate,3102485
30/07/2021,England,CumFullyVaccByDate,30951788
31/07/2021,Scotland,CumFullyVaccByDate,3121209
31/07/2021,England,CumFullyVaccByDate,31138644
01/08/2021,England,CumFullyVaccByDate,31232357
01/08/2021,Scotland,CumFullyVaccByDate,3137105
02/08/2021,Scotland,CumFullyVaccByDate,3154072
02/08/2021,England,CumFullyVaccByDate,31325604
03/08/2021,England,CumFullyVaccByDate,31435472
03/08/2021,Scotland,CumFullyVaccByDate,3172449
04/08/2021,Scotland,CumFullyVaccByDate,3191458
04/08/2021,England,CumFullyVaccByDate,31568596
05/08/2021,England,CumFullyVaccByDate,31711930
05/08/2021,Scotland,CumFullyVaccByDate,3207852
06/08/2021,Scotland,CumFullyVaccByDate,3226943
06/08/2021,England,CumFullyVaccByDate,31853002
07/08/2021,England,CumFullyVaccByDate,32043048
07/08/2021,Scotland,CumFullyVaccByDate,3244923
08/08/2021,Scotland,CumFullyVaccByDate,3262751
08/08/2021,England,CumFullyVaccByDate,32139285
09/08/2021,England,CumFullyVaccByDate,32250636
09/08/2021,Scotland,CumFullyVaccByDate,3278381
10/08/2021,Scotland,CumFullyVaccByDate,3295862
10/08/2021,England,CumFullyVaccByDate,32371954
11/08/2021,England,CumFullyVaccByDate,32519680
11/08/2021,Scotland,CumFullyVaccByDate,3314110
12/08/2021,Scotland,CumFullyVaccByDate,3332467
12/08/2021,England,CumFullyVaccByDate,32686079
13/08/2021,England,CumFullyVaccByDate,32832596
13/08/2021,Scotland,CumFullyVaccByDate,3350520
14/08/2021,Scotland,CumFullyVaccByDate,3369495
14/08/2021,England,CumFullyVaccByDate,33011480
15/08/2021,England,CumFullyVaccByDate,33113884
15/08/2021,Scotland,CumFullyVaccByDate,3386324
16/08/2021,Scotland,CumFullyVaccByDate,3400680
16/08/2021,England,CumFullyVaccByDate,33231103
